issueDate,lastUpdated,report.enhancedWeatherDescription,report.gustSpeedKph,report.gustSpeedMph,report.localDate,report.lowermaxTemperatureC,report.lowermaxTemperatureF,report.lowerminTemperatureC,report.lowerminTemperatureF,report.maxTempC,report.maxTempF,report.minTempC,report.minTempF,report.mostLikelyHighTemperatureC,report.mostLikelyHighTemperatureF,report.mostLikelyLowTemperatureC,report.mostLikelyLowTemperatureF,report.pollenIndex,report.pollenIndexBand,report.pollenIndexIconText,report.pollenIndexText,report.pollutionIndex,report.pollutionIndexBand,report.pollutionIndexIconText,report.pollutionIndexText,report.precipitationProbabilityInPercent,report.precipitationProbabilityText,report.sunrise,report.sunset,report.uppermaxTemperatureC,report.uppermaxTemperatureF,report.upperminTemperatureC,report.upperminTemperatureF,report.uvIndex,report.uvIndexBand,report.uvIndexIconText,report.uvIndexText,report.weatherType,report.weatherTypeText,report.windDescription,report.windDirection,report.windDirectionAbbreviation,report.windDirectionFull,report.windSpeedKph,report.windSpeedMph,location_id,location_name
2023-09-21T19:00:00+10:00,2023-09-22T02:01:12.252+10:00,Partly cloudy and a moderate breeze,35,22,2023-09-21,,,,,17,63,15,60,18,65,14,58,,,,,,,,,21,Low chance of precipitation,05:47,17:50,,,,,0,LOW,L,Low,2,Partly Cloudy,A moderate breeze from the south,S,S,Southerly,24,15,2147714,Sydney
2023-09-21T19:00:00+10:00,2023-09-22T02:01:12.252+10:00,Sunny intervals and a moderate breeze,35,22,2023-09-22,,,,,17,63,11,53,18,65,10,50,,,,,,,,,20,Low chance of precipitation,05:46,17:51,,,,,5,MODERATE,M,Moderate,3,Sunny Intervals,A moderate breeze from the south,S,S,Southerly,27,17,2147714,Sydney
2023-09-21T19:00:00+10:00,2023-09-22T02:01:12.252+10:00,Sunny intervals and a gentle breeze,17,10,2023-09-23,,,,,18,64,11,51,19,65,10,49,,,,,,,,,10,Low chance of precipitation,05:44,17:52,,,,,6,HIGH,H,High,3,Sunny Intervals,A gentle breeze from the east,E,E,Easterly,16,10,2147714,Sydney
2023-09-21T19:00:00+10:00,2023-09-22T02:01:12.252+10:00,Sunny and a moderate breeze,31,19,2023-09-24,,,,,19,66,11,52,19,67,10,50,,,,,,,,,0,Precipitation is not expected,05:43,17:52,,,,,6,HIGH,H,High,1,Sunny,A moderate breeze from the west,W,W,Westerly,23,14,2147714,Sydney
2023-09-21T19:00:00+10:00,2023-09-22T02:01:12.252+10:00,Sunny and a moderate breeze,32,20,2023-09-25,,,,,22,71,13,56,22,72,11,53,,,,,,,,,0,Precipitation is not expected,05:42,17:53,,,,,7,HIGH,H,High,1,Sunny,A moderate breeze from the north east,NE,NE,North Easterly,25,16,2147714,Sydney
2023-09-21T19:00:00+10:00,2023-09-22T02:01:12.252+10:00,Sunny and a gentle breeze,22,14,2023-09-26,,,,,22,71,15,59,22,72,13,56,,,,,,,,,11,Low chance of precipitation,05:40,17:54,,,,,6,HIGH,H,High,1,Sunny,A gentle breeze from the east,E,E,Easterly,17,10,2147714,Sydney
2023-09-21T19:00:00+10:00,2023-09-22T02:01:12.252+10:00,Sunny intervals and a gentle breeze,27,17,2023-09-27,,,,,24,75,15,60,26,79,13,56,,,,,,,,,39,Chance of precipitation,05:39,17:54,,,,,6,HIGH,H,High,3,Sunny Intervals,A gentle breeze from the north east,NE,NE,North Easterly,17,10,2147714,Sydney
2023-09-21T19:00:00+10:00,2023-09-22T02:01:12.252+10:00,Light rain showers and a moderate breeze,34,21,2023-09-28,,,,,21,69,13,55,22,72,11,51,,,,,,,,,22,Low chance of precipitation,05:37,17:55,,,,,6,HIGH,H,High,10,Light Rain Showers,A moderate breeze from the south west,SW,SW,South Westerly,21,13,2147714,Sydney
2023-09-22T02:01:12+10:00,2023-09-22T02:01:12.252+10:00,Sunny and a moderate breeze,33,21,2023-09-29,,,,,23,74,14,57,25,77,12,54,,,,,,,,,4,Low chance of precipitation,05:36,17:56,,,,,7,HIGH,H,High,1,Sunny,A moderate breeze from the north east,NE,NE,North Easterly,22,14,2147714,Sydney
2023-09-22T02:01:12+10:00,2023-09-22T02:01:12.252+10:00,Sunny and a gentle breeze,26,16,2023-09-30,,,,,26,78,16,61,28,82,14,57,,,,,,,,,10,Low chance of precipitation,05:35,17:57,,,,,7,HIGH,H,High,1,Sunny,A gentle breeze from the north east,NE,NE,North Easterly,19,12,2147714,Sydney
